judge_name	subject_ID	word	feature	done	british
ferragne	100	logs	lot	1	1
ferragne	100	grass	bath	1	-1
ferragne	100	water	flap	1	-1
ferragne	100	hotter	rhotic	1	-1
ferragne	101	logs	lot	1	1
ferragne	101	grass	bath	1	-1
ferragne	101	water	flap	1	-1
ferragne	101	hotter	rhotic	1	-1
ferragne	102	logs	lot	1	1
ferragne	102	grass	bath	1	-1
ferragne	102	water	flap	1	-1
ferragne	102	hotter	rhotic	1	-1
ferragne	103	logs	lot	1	1
ferragne	103	grass	bath	1	-1
ferragne	103	water	flap	1	1
ferragne	103	hotter	rhotic	1	1
ferragne	104	logs	lot	1	1
ferragne	104	grass	bath	1	-1
ferragne	104	water	flap	1	-1
ferragne	104	hotter	rhotic	1	1
ferragne	106	logs	lot	1	-1
ferragne	106	grass	bath	1	-1
ferragne	106	water	flap	1	1
ferragne	106	hotter	rhotic	1	1
ferragne	107	logs	lot	1	1
ferragne	107	grass	bath	1	-1
ferragne	107	water	flap	1	-1
ferragne	107	hotter	rhotic	1	-1
ferragne	108	logs	lot	1	1
ferragne	108	grass	bath	1	-1
ferragne	108	water	flap	1	-1
ferragne	108	hotter	rhotic	1	-1
ferragne	109	logs	lot	1	1
ferragne	109	grass	bath	1	-1
ferragne	109	water	flap	1	1
ferragne	109	hotter	rhotic	1	-1
ferragne	110	logs	lot	1	1
ferragne	110	grass	bath	1	-1
ferragne	110	water	flap	1	1
ferragne	110	hotter	rhotic	1	1
ferragne	111	logs	lot	1	1
ferragne	111	grass	bath	1	-1
ferragne	111	water	flap	1	1
ferragne	111	hotter	rhotic	1	1
ferragne	113	logs	lot	1	-1
ferragne	113	grass	bath	1	-1
ferragne	113	water	flap	1	-1
ferragne	113	hotter	rhotic	1	-1
ferragne	114	logs	lot	1	1
ferragne	114	grass	bath	1	-1
ferragne	114	water	flap	1	1
ferragne	114	hotter	rhotic	1	-1
ferragne	116	logs	lot	1	1
ferragne	116	grass	bath	1	-1
ferragne	116	water	flap	1	1
ferragne	116	hotter	rhotic	1	1
ferragne	117	logs	lot	1	-1
ferragne	117	grass	bath	1	-1
ferragne	117	water	flap	1	-1
ferragne	117	hotter	rhotic	1	-1
ferragne	120	logs	lot	1	1
ferragne	120	grass	bath	1	-1
ferragne	120	water	flap	1	-1
ferragne	120	hotter	rhotic	1	1
ferragne	121	logs	lot	1	1
ferragne	121	grass	bath	1	-1
ferragne	121	water	flap	1	-1
ferragne	121	hotter	rhotic	1	-1
ferragne	122	logs	lot	1	1
ferragne	122	grass	bath	1	-1
ferragne	122	water	flap	1	1
ferragne	122	hotter	rhotic	1	1
